#id,name,University,phd,gender,type,joinyear,field
1,Chitta Baral,Arizona State University,University of Maryland - College Park,Male,Full,1999,Natural Language & Speech
2,Kasim Candan,Arizona State University,University of Maryland - College Park,Male,Full,1997,Databases
3,Charles Colbourn,Arizona State University,University of Toronto,Male,Full,2001,Networks & Communications
4,James Collofello,Arizona State University,Northwestern University,Male,Full,1979,Software Engineering
5,Sandeep Gupta,Arizona State University,Ohio State University,Male,Full,2001,Distributed & Parallel Computing
6,Subbarao Kambhampati,Arizona State University,University of Maryland - College Park,Male,Full,1991,Artificial Intelligence
7,Huan Liu,Arizona State University,University of Southern California,Male,Full,2000,Machine Learning & Pattern Recognition
8,Arunabha Sen,Arizona State University,University of South Carolina,Male,Full,1987,Networks & Communications
9,Wei-Tek Tsai,Arizona State University,University of California - Berkeley,Male,Full,2000,Distributed & Parallel Computing
10,Kurt VanLehn,Arizona State University,Massachusetts Institute of Technology,Male,Full,2008,Machine Learning & Pattern Recognition
11,Guoliang Xue,Arizona State University,University of Minnesota - Twin Cities,Male,Full,2001,Security & Privacy
12,Rida Bazzi,Arizona State University,Georgia Institute of Technology,Male,Associate,1996,Security & Privacy
13,Partha Dasgupta,Arizona State University,Stony Brook University,Male,Associate,1991,Security & Privacy
14,Hasan Davulcu,Arizona State University,Stony Brook University,Male,Associate,2002,Data Mining
15,Joohyung Lee,Arizona State University,University of Texas - Austin,Male,Associate,2005,Natural Language & Speech
16,Brian Nelson,Arizona State University,Harvard University,Male,Associate,2015,Computer Education
17,Andrea Richa,Arizona State University,Carnegie Mellon University,Female,Full,1998,Algorithms & Theory
18,Violet Syrotiuk,Arizona State University,University of Waterloo,Female,Associate,2002,Networks & Communications
19,Peter Wonka,Arizona State University,Vienna University of Technology - Austria,Male,Associate,2004,Graphics
20,Jieping Ye,Arizona State University,University of Minnesota - Twin Cities,Male,Associate,2005,Machine Learning & Pattern Recognition
21,Georgios Fainekos,Arizona State University,University of Pennsylvania,Male,Assistant,2009,Real-Time & Embedded Systems
22,Aviral Shrivastava,Arizona State University,University of California - Irvine,Male,Assistant,2006,Real-Time & Embedded Systems
23,Yalin Wang,Arizona State University,University of Washington,Male,Assistant,2010,Computer Vision
